prediction,valeur_reelle,erreur,erreur_pourcentage
495024.09,471687.0,-23337.090000000026,-4.947579644976441
365088.34,349979.0,-15109.340000000026,-4.317213318513404
456258.27,373797.0,-82461.27000000002,-22.06044189760753
448033.99,393693.0,-54340.98999999999,-13.802884481055033
379561.28,379154.0,-407.28000000002794,-0.10741809396710253
411025.29,411015.0,-10.289999999979045,-0.0025035582642918253
375698.89,382227.0,6528.109999999986,1.7079144068838636
505308.78,546219.0,40910.21999999997,7.489710171195065
425857.76,430649.0,4791.239999999991,1.1125626670443889
399228.36,331141.0,-68087.35999999999,-20.561440594791943
385767.26,351635.0,-34132.26000000001,-9.706729989904307
418679.28,417591.0,-1088.280000000028,-0.26060906485054225
380814.1,348590.0,-32224.099999999977,-9.24412633753119
395909.65,391220.0,-4689.650000000023,-1.1987245028372844
400427.94,399079.0,-1348.9400000000023,-0.3380132755669936
541447.6,546975.0,5527.400000000023,1.0105397870103794
419792.86,451020.0,31227.140000000014,6.923670790652301
347723.65,369846.0,22122.349999999977,5.981503112106114
406989.18,384365.0,-22624.179999999993,-5.886118663249774
397154.14,409103.0,11948.859999999986,2.920746120170223
382684.42,375623.0,-7061.419999999984,-1.8799221559915085
464000.23,469574.0,5573.770000000019,1.186984373070063
412793.38,388844.0,-23949.380000000005,-6.159122938762075
478351.6,428329.0,-50022.59999999998,-11.678546164280256
447191.37,388811.0,-58380.369999999995,-15.015102453377088
398523.29,459038.0,60514.71000000002,13.18294128154968
371726.64,367673.0,-4053.640000000014,-1.102512286733052
409575.56,419355.0,9779.440000000002,2.3320194107617658
404177.55,388793.0,-15384.549999999988,-3.95700282669698
570447.12,509076.0,-61371.119999999995,-12.055394479409753
448578.93,444559.0,-4019.929999999993,-0.9042511792585445
379647.24,383681.0,4033.7600000000093,1.051331705244724
487323.27,449771.0,-37552.27000000002,-8.349197702831
439124.81,401914.0,-37210.81,-9.258401050971104
449516.56,432740.0,-16776.559999999998,-3.876822110274067
400346.9,401023.0,676.0999999999767,0.16859382130201428
399083.25,386481.0,-12602.25,-3.260768317200587
435006.46,470827.0,35820.53999999998,7.608004638646462
478980.19,490276.0,11295.809999999998,2.303969600796286
554049.04,508429.0,-45620.04000000004,-8.972745457084477
398878.91,360913.0,-37965.909999999974,-10.519407724299201
396405.15,398532.0,2126.8499999999767,0.5336710728373071
424774.63,424556.0,-218.63000000000466,-0.051496151273331355
446511.38,415636.0,-30875.380000000005,-7.428466254126207
513489.07,580184.0,66694.93,11.495479020448684
442772.8,429118.0,-13654.799999999988,-3.1820618105043343
385888.3,389038.0,3149.7000000000116,0.809612428605949
393511.7,395936.0,2424.2999999999884,0.6122959266143994
433601.47,428487.0,-5114.469999999972,-1.193611474793861
395414.85,380936.0,-14478.849999999977,-3.800861562047162
533659.81,506661.0,-26998.810000000056,-5.328772098109003
441755.6,480253.0,38497.40000000002,8.016066531598973
483400.2,386717.0,-96683.20000000001,-25.001021418763596
404805.23,404164.0,-641.2299999999814,-0.15865589216258286
450557.54,436667.0,-13890.539999999979,-3.181037266383761
453455.2,392972.0,-60483.20000000001,-15.39122380220474
392149.54,377039.0,-15110.539999999979,-4.007686207527597
400438.55,404325.0,3886.4500000000116,0.9612193161441938
411501.6,467951.0,56449.40000000002,12.063100623783264
392642.41,362388.0,-30254.409999999974,-8.348623574732047
382636.34,387034.0,4397.659999999974,1.1362464279623947
414765.2,385975.0,-28790.20000000001,-7.459084137573679
403817.21,396728.0,-7089.210000000021,-1.786919501522459
399997.66,436817.0,36819.340000000026,8.429008028533694
411438.45,401260.0,-10178.450000000012,-2.5366221402581894
545289.08,603756.0,58466.92000000004,9.683865667587575
409068.11,406954.0,-2114.109999999986,-0.5194960609798617
478677.04,488483.0,9805.960000000021,2.007431169559641
431979.06,433541.0,1561.9400000000023,0.36027503742437333
414882.13,365828.0,-49054.130000000005,-13.40906928939283
446309.85,448043.0,1733.1500000000233,0.3868267108290997
425411.89,389661.0,-35750.890000000014,-9.174869951060028
456871.03,525438.0,68566.96999999997,13.049488236480796
399167.76,410258.0,11090.23999999999,2.7032355249623388
457826.16,399850.0,-57976.159999999974,-14.49947730398899
431473.53,432263.0,789.4699999999721,0.18263649676238125
469078.08,466724.0,-2354.0800000000163,-0.5043837471396406
