valeur_reelle,prediction,erreur,erreur_pourcentage
424350.0,447094.0,-22744.0,-5.359726640744668
438305.0,425406.04,12898.960000000021,2.9429187437971325
406300.0,407708.79,-1408.789999999979,-0.346736401673635
559444.0,522925.44,36518.56,6.527652454937402
517998.0,501867.74,16130.26000000001,3.1139618299684573
525985.0,520025.34,5959.659999999974,1.1330475203665455
416086.0,426083.03,-9997.030000000028,-2.4026355128507157
408179.0,379642.03,28536.969999999972,6.991288135842357
493766.0,492829.05,936.9500000000116,0.18975587626527782
494026.0,509782.41,-15756.409999999974,-3.1893888175925915
508802.0,522860.17,-14058.169999999984,-2.7629942492364385
444204.0,425025.05,19178.95000000001,4.317599571368113
399203.0,401543.82,-2340.820000000007,-0.5863733488976803
452114.0,412691.9,39422.09999999998,8.719504372790928
366373.0,371927.18,-5554.179999999993,-1.5159905342369642
485054.0,383474.97,101579.03000000003,20.94179823277409
461049.0,476912.15,-15863.150000000023,-3.440664658203363
409366.0,417298.59,-7932.590000000026,-1.9377745098518258
465641.0,448645.05,16995.95000000001,3.6500114895380804
352321.0,359566.75,-7245.75,-2.0565762472290894
454186.0,503758.38,-49572.380000000005,-10.914554829959533
349401.0,387194.38,-37793.380000000005,-10.816620444703938
416974.0,438224.41,-21250.409999999974,-5.096339340102734
415056.0,424620.6,-9564.599999999977,-2.304411934775061
493952.0,465664.77,28287.22999999998,5.726716361103909
420086.0,439248.57,-19162.570000000007,-4.561582628318965
402027.0,431650.85,-29623.849999999977,-7.368622007974583
446427.0,397500.48,48926.52000000002,10.959579057718287
440559.0,440661.47,-102.46999999997206,-0.023259086751143902
419428.0,412832.59,6595.409999999974,1.5724772785793923
341283.0,351424.64,-10141.640000000014,-2.971621791885331
530891.0,515189.21,15701.789999999979,2.9576297206017768
411023.0,379940.21,31082.78999999998,7.562299433365038
315491.0,341997.02,-26506.02000000002,-8.401513830822438
405897.0,411580.1,-5683.099999999977,-1.400133531413136
432740.0,451415.46,-18675.46000000002,-4.315630632712488
439653.0,528063.02,-88410.02000000002,-20.109045087830633
509155.0,508079.3,1075.7000000000116,0.21127161669825725
585496.0,507974.46,77521.53999999998,13.240319319004737
469163.0,403359.43,65803.57,14.025737323701998
358299.0,401775.8,-43476.79999999999,-12.134223093003326
399909.0,412740.45,-12831.450000000012,-3.2085924547834663
581314.0,508603.66,72710.34000000003,12.507928589368229
622611.0,499462.39,123148.60999999999,19.779382310945355
414657.0,472860.66,-58203.659999999974,-14.036579630875634
453549.0,436956.13,16592.869999999995,3.658451457284658
446099.0,452289.24,-6190.239999999991,-1.3876381700026208
388214.0,398242.32,-10028.320000000007,-2.5831938054784236
357617.0,401927.1,-44310.09999999998,-12.390378533458973
368325.0,386712.91,-18387.909999999974,-4.9923057082739355
580533.0,438404.38,142128.62,24.482435968325657
430364.0,430738.71,-374.71000000002095,-0.08706815625842797
392996.0,399656.82,-6660.820000000007,-1.6948823906604664
384612.0,389959.64,-5347.640000000014,-1.390398635507996
392343.0,417045.9,-24702.900000000023,-6.296250984470227
563564.0,540018.06,23545.939999999944,4.178041890539485
404303.0,484050.16,-79747.15999999997,-19.724602587663206
346998.0,389321.84,-42323.840000000026,-12.197142346641774
434438.0,430026.91,4411.090000000026,1.0153554707461192
417045.0,435824.35,-18779.349999999977,-4.502955316572547
366924.0,361460.43,5463.570000000007,1.4890195244791855
387814.0,391419.6,-3605.5999999999767,-0.9297240429690462
394312.0,398324.76,-4012.7600000000093,-1.0176611414311534
517623.0,500624.44,16998.559999999998,3.283965357026252
404579.0,403247.04,1331.960000000021,0.3292212398567452
449262.0,447640.65,1621.3499999999767,0.3608918626547486
386481.0,408605.52,-22124.52000000002,-5.72460741925218
398128.0,409641.21,-11513.210000000021,-2.8918362938552478
345506.0,352830.63,-7324.630000000005,-2.1199718673481804
403721.0,438979.71,-35258.71000000002,-8.733434723484788
411730.0,416434.32,-4704.320000000007,-1.142574016952859
443579.0,463275.24,-19696.23999999999,-4.440300374905032
394031.0,398320.62,-4289.619999999995,-1.0886503853757687
479252.0,513011.51,-33759.51000000001,-7.044208474873346
383860.0,378025.41,5834.590000000026,1.5199786380451272
542100.0,442954.98,99145.02000000002,18.28906474820144
425403.0,403207.65,22195.349999999977,5.2174878879556505
414599.0,467079.24,-52480.23999999999,-12.658072016575051
393156.0,400833.92,-7677.919999999984,-1.9528940166244402
